model_specification,formula,term,coefficient_log_odds,standard_error,z_statistic,p_value,odds_ratio,ci_low_log_odds,ci_high_log_odds,ci_low_odds_ratio,ci_high_odds_ratio,p_holm,p_fdr_bh
main_effects,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no'))",Intercept,3.8526898073764113,0.3833389437695824,10.050348053580981,9.154351987375868e-24,47.11963567112722,3.101359283716405,4.604020331036418,22.228145111497838,99.88508058782212,6.408046391163108e-23,3.6617407949503474e-23
main_effects,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no'))","C(model, Treatment(reference='Llama'))[T.Qwen]",-1.258586583294203,0.1259075761955659,-9.996114779775475,1.5849375545776273e-23,0.28405523130748844,-1.5053608980182447,-1.0118122685701612,0.2219371826874356,0.36355951470640474,9.509625327465763e-23,4.2265001455403394e-23
main_effects,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no'))","C(prompt, Treatment(reference='evidence'))[T.guided]",-0.9735915925750824,0.10932033682279138,-8.90585979581528,5.297384610642199e-19,0.3777239683517687,-1.1878555155255415,-0.7593276696246234,0.30487436187305866,0.46798095907721515,2.6486923053210996e-18,1.0594769221284398e-18
main_effects,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no'))","C(prompt, Treatment(reference='evidence'))[T.label]",-1.45794024868178,0.12919037715724455,-11.285207774471026,1.552742516478869e-29,0.23271511668114864,-1.7111487350591255,-1.2047317623044347,0.18065814502901267,0.2997723989871779,1.2421940131830952e-28,1.2421940131830952e-28
main_effects,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no'))","C(parser, Treatment(reference='P1'))[T.P2]",-0.6930089865124892,0.12828468479733604,-5.402117856915686,6.585865379135652e-08,0.5000691017983466,-0.9444423484833409,-0.44157562454163757,0.3888963791000526,0.6430224605127247,2.634346151654261e-07,1.0537384606617044e-07
main_effects,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no'))","C(year_num, Treatment(reference=2023))[T.2025]",-0.8177442810455472,0.2586600798634225,-3.1614630347185075,0.0015697874143752728,0.44142626589735595,-1.3247087218161093,-0.31077984027498506,0.2658803929689753,0.7328752077134941,0.004709362243125818,0.0020930498858336972
main_effects,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no'))","C(dataset_clean, Treatment(reference='nazario'))[T.spam_assassin]",-0.7292917421373645,0.26491271075757306,-2.752951113790663,0.005906071474526708,0.48225042681985986,-1.2485111142690841,-0.21007237000564472,0.2869316874808909,0.8105255861063636,0.011812142949053415,0.006749795970887666
main_effects,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no'))","C(obfuscation_clean, Treatment(reference='no'))[T.yes]",0.21907350349517854,0.2497167225245181,0.8772880777884994,0.3803301862136601,1.2449227795001223,-0.270362278990259,0.7085092859806161,0.7631029880736895,2.030961418236053,0.3803301862136601,0.3803301862136601
screen_model_X_prompt,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(model, Treatment(reference='Llama')):C(prompt, Treatment(reference='evidence'))",Intercept,4.452351642523797,0.5055276552695079,8.807335456554103,1.2815572985810423e-18,85.82854491863475,3.4615356450065815,5.443167640041013,31.865873630473704,231.1732986917201,1.2815572985810424e-17,1.2815572985810422e-17
screen_model_X_prompt,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(model, Treatment(reference='Llama')):C(prompt, Treatment(reference='evidence'))","C(model, Treatment(reference='Llama'))[T.Qwen]",-2.047487494620625,0.3401494177846528,-6.019376743184318,1.7508992224653583e-09,0.12905875739743577,-2.7141681028408127,-1.3808068864004377,0.06626005163442213,0.2513756396217068,1.5758093002188225e-08,7.882721441433453e-09
